Reference source,Reference metadata,Location,Group/Formation,Lithology,Metamorphic grade,Age Range (Ga),Age (Ga),"Sample name, or # of samples",TOC(±s),d13C
Kiyokawa et al 2006,,Pilbara,Dixon Island Formation,chert,lower greenschist,,3.2,9910-36,0.06,-25.97
Kiyokawa et al 2006,,Pilbara,Dixon Island Formation,chert,lower greenschist,,3.2,9-Aug,0.01,-29.5
Kiyokawa et al 2006,,Pilbara,Dixon Island Formation,chert,lower greenschist,,3.2,9-Oct,0.01,-29.7
Kiyokawa et al 2006,,Pilbara,Dixon Island Formation,chert,lower greenschist,,3.2,9-Nov,0.02,-28.4
Kiyokawa et al 2006,,Pilbara,Dixon Island Formation,chert,lower greenschist,,3.2,9909-27,0.02,-27.9
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG1-874,0.03,-25.2
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG1-1398.3,0.29,-31.2
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG2-657.2,0.38,-31.6
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG2-882.2,0.38,-32
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG2-1001,0.08,-28.5
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG3-1833,0.31,-31
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG4-1289.5,0.03,-26.2
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG4-1366.3,0.02,-26.1
Ono et al 2006,,South Africa,Mozaan Group,shale,sub greenschist,,2.9,PNG4-1595.7,0.02,-26.5
Rosing et al 1999,,Greenland,Isua,greywacke,,,3.7,810212,0.1,-19.07
Rosing et al 1999,,Greenland,Isua,slate,,,3.7,810213,0.4,-19.11
Rosing et al 1999,,Greenland,Isua,schist,,,3.7,810214,0.3,-18.77
Rosing et al 1999,,Greenland,Isua,schist,,,3.7,930049,0.9,-14.1
Rosing et al 1999,,Greenland,Isua,quartzine,,,3.7,930055B,0.2,-20.21
Rosing et al 1999,,Greenland,Isua,graphite,,,3.7,810227,0.9,-12.58
Rosing et al 1999,,Greenland,Isua,graphite,,,3.7,810228,1,-11.4
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,BIF,,,3.7,1-Oct,3.14,-10
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,BIF,,,3.7,39-2,2.54,-10.9
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,BIF,,,3.7,205-3,1.62,-7.8
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,BIF,,,3.7,206-1,2.13,-8.2
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,BIF,,,3.7,206-3,1.11,-8
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,BIF,,,3.7,206-5,4.38,-9.4
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,BIF,,,3.7,207-1,2.44,-8
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,carbonate amphibolite,,,3.7,22-6,,-5.2
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,carbonate amphibolite,,,3.7,38-2,,-5
"Shimoyama and Matsubaya, 1982",,Greenland,Isua,carbonate amphibolite,,,3.7,38-3,,-5.6
"Strauss and Beukes, 1996",,South Africa,Reivilo,shale,,,2.5,B598,20.9,-41.4
"Strauss and Beukes, 1996",,South Africa,Reivilo,shale,,,2.5,B599,5.9,-43.2
"Strauss and Beukes, 1996",,South Africa,Reivilo,shale,,,2.5,B600,6.4,-43.4
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B602,17.4,-38.1
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B603,25,-38.6
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B604,6,-38.1
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B605,18.9,-38
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B606,28.8,-40.1
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B607,20.7,-38.3
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B608,25.3,-40.2
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B609,23.6,-40.9
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B610,11.7,-39.5
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B611,24.1,-41.5
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B612,19.7,-41.5
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B613,23.7,-41.9
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B614,24.6,-42.7
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B615,30.7,-41.7
"Strauss and Beukes, 1996",,South Africa,Monteville Formation,shale,,,2.5,B616,10.9,-37.1
"Strauss and Beukes, 1996",,South Africa,Boomplas Fm,shale,,,2.557,B621,4.3,-37.7
"Strauss and Beukes, 1996",,South Africa,Boomplas Fm,shale,,,2.557,B622,1.6,-37.3
"Strauss and Beukes, 1996",,South Africa,Boomplas Fm,shale,,,2.557,B623,0.7,-36.5
"Strauss and Beukes, 1996",,South Africa,Lokamonna Fm,shale,,,2.55,B617,1,-32.1
"Strauss and Beukes, 1996",,South Africa,Lokamonna Fm,shale,,,2.55,B618,10.3,-33.2
"Strauss and Beukes, 1996",,South Africa,Lokamonna Fm,shale,,,2.55,B619,3.8,-33.8
"Strauss and Beukes, 1996",,South Africa,Lokamonna Fm,shale,,,2.55,B620,6.2,-31.4
"Strauss and Beukes, 1996",,South Africa,Vryburg Fm,shale,,,2.64,B624,1.3,-41
"Strauss and Beukes, 1996",,South Africa,Vryburg Fm,shale,,,2.64,B625,1.9,-39
"Strauss and Beukes, 1996",,South Africa,Vryburg Fm,shale,,,2.64,B626,3.6,-39.7
"Strauss and Beukes, 1996",,South Africa,Vryburg Fm,shale,,,2.64,B627,4,-40.3
"Strauss and Beukes, 1996",,South Africa,Vryburg Fm,shale,,,2.64,B628,3.4,-41.2
"Strauss and Beukes, 1996",,South Africa,Vryburg Fm,shale,,,2.64,B629,4.3,-43.4
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B484,0.6,-21.3
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B485,14.3,-31.3
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B486,0.8,-23
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B487,14.3,-32.6
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B488,14.9,-36.7
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B489,13.7,-36.8
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B490,3.4,-36.7
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B491,17,-37.8
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B492,2.6,-34.3
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B493,27.3,-36.4
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B494,12.9,-35.2
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B495,22.5,-36.4
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B496,23.7,-36.2
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B497,1,-32.4
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B498,8.3,-33.1
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B499,0.4,-26.4
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B500,0.4,-26.5
"Strauss and Beukes, 1996",,South Africa,Black Reef,shale,,,2.5,B501,0.1,-26
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,_GIS42.7,0.08,-29.2
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS43.9,0.39,-50.5
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS44.5,0.4,-55.9
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS47.0,0.1,-39.9
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS68.0,0.06,-45.4
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS68.2,0.12,-49.1
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS68.9,0.13,-35.2
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS69.2,0.14,-29.2
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS69.45,0.11,-29.2
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS69.55,0.11,-44.5
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS69.7,0.13,-34.4
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS69.9,0.09,-29.1
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS70.4,0.1,-30.6
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS70.6,0.13,-45.3
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS70.8,0.08,-32.2
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS72.1,0.09,-34.9
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS72.4,0.14,-32.8
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS73.0,0.05,-37.5
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS73.5,0.03,-44.1
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS75.1,0.09,-43.1
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS75.4,0.21,-31.6
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS77.1,0.07,-35.6
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS77.2,0.25,-39.6
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS78.1,0.11,-42.4
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS78.4,0.06,-46.8
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS80.1,0.11,-43.1
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS80.4,0.07,-44.1
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS80.6,0.17,-42.5
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS81.4,0.04,-23.8
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS82.6,0.3,-45.7
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS82.8,0.23,-48.2
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS83.2,0.07,-44.9
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS83.4,0.05,-31.5
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS84.6,0.43,-50
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS84.8,0.18,-50.7
Thomazo et al 2009,,Austrailia,Tumbiana,stromatolite,sub greenschist,2.77-2.41,2.6,GIS85.7,0.14,-38
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS87.5,0.17,-44.3
Thomazo et al 2009,,Austrailia,Tumbiana,shale,sub greenschist,2.77-2.41,2.6,GIS88.2,0.21,-52.7
Thomazo et al 2009,,Austrailia,Tumbiana,siltstone,sub greenschist,2.77-2.41,2.6,GIS88.8,0.15,-53.3
Thomazo et al 2009,,Austrailia,Tumbiana,siltstone,sub greenschist,2.77-2.41,2.6,GIS89.6,0.21,-43
Thomazo et al 2009,,Austrailia,Tumbiana,siltstone,sub greenschist,2.77-2.41,2.6,GIS90.4,0.14,-24.7
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-1,0.08,-30.1
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-2,0.07,-39.4
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-3,0.07,-36.3
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-3',0.06,-39.1
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-4'-1,0.07,-39.5
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-4,0.08,-40.8
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-4'-2,0.02,-35.1
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-5,0.02,-26.8
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-5'-1,0.22,-44.1
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-5',0.06,-40.2
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-5'',0.03,-42.3
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-6,0.17,-42.2
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-7'-1,0.29,-43.7
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-7'-2,0.12,-41.9
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-7'-3,0.27,-43.7
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-7,0.21,-43.4
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-8,0.02,-43.1
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-9',0.04,-39.1
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-9'-BS,0.23,-43.8
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-9,1.05,-42
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-10 BIS,0.2,-43.5
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-11,0.24,-43.4
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-12,0.19,-42.5
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-12'1,0.27,-43.4
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-12'-2,0.1,-41.3
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-13'',0.13,-41.2
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-13'-1,0.16,-42.7
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-13'-2,0.26,-42.8
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-13,0.34,-43.3
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-14''',0.24,-42.9
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-14,0.23,-43
Thomazo et al 2013,,Zimbabwe,Cheshire,shale carbonate,sub greenschist,,2.65,CHS-14',0.19,-42.9
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-14'',0.22,-47.7
Thomazo et al 2013,,Zimbabwe,Cheshire,shale,sub greenschist,,2.65,CHS-15',0.27,-38.5
Thomazo et al 2013,,Zimbabwe,Manjeri,shale,sub greenschist,,2.7,BES-61(J),4.77,-34.3
Thomazo et al 2013,,Zimbabwe,Manjeri,shale,sub greenschist,,2.7,BES-22 (J),2.21,-35.4
Thomazo et al 2013,,Zimbabwe,Manjeri,shale carbonate,sub greenschist,,2.7,BES-53C (J) ,0.06,-34.2
Thomazo et al 2013,,Zimbabwe,Manjeri,shale,sub greenschist,,2.7,BES-49C (J),0.12,-27.9
Thomazo et al 2013,,Zimbabwe,Manjeri,volcaniclastic + carbonate,sub greenschist,,2.7,BES=44A  ¨,0.06,-29.2
Thomazo et al 2013,,Zimbabwe,Manjeri,volcaniclastic + carbonate,sub greenschist,,2.7,BES-40¨,0,-27.2
Thomazo et al 2013,,Zimbabwe,Manjeri,shale,sub greenschist,,2.7,BES-6 (S),2.24,-30.5
Thomazo et al 2013,,Zimbabwe,Manjeri,shale carbonate,sub greenschist,,2.7,BES-2(SV),3.31,-34.3
Thomazo et al 2013,,Zimbabwe,Manjeri,shale,sub greenschist,,2.7,BES-1 (SV),0.65,-15.5
Watanabe et al. 1997,,South Africa,"Silverton, Kaapvaal",shale,zeolite,,2.22,D80,0.83,-32.9
Watanabe et al. 1997,,South Africa,"Silverton, Kaapvaal",shale,zeolite,,2.22,D83,0.27,-30.3
Watanabe et al. 1997,,South Africa,"Silverton, Kaapvaal",shale,zeolite,,2.22,D99,0.59,-29.1
Watanabe et al. 1997,,South Africa,"Strubenkop, Kaapvaal",shale,zeolite,,2.22,CDV1-2,0.07,-25.8
Watanabe et al. 1997,,South Africa,"Strubenkop, Kaapvaal",shale,zeolite,,2.22,CDv1-3,0.09,-25.9
Watanabe et al. 1997,,South Africa,"Strubenkop, Kaapvaal",shale,zeolite,,2.22,CDV1-4,0.12,-24.3
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,MSF1-3,0.57,-32.6
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,msf1-4,0.34,-31
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,msf2-3,0.94,-30
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,msf2-5,2.79,-31.9
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,msf2-7,2,-31.9
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,wbk1-2,1.22,-26.7
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,wbk1-4,0.73,-32.5
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,cdv1-16,0.31,-29.8
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,cdv1-17,0.69,-27
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,cdv1-19,0.37,-29.6
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,cdv1-22,0.37,-29
Watanabe et al. 1997,,South Africa,"Timeball Hill, Kaapvaal",shale,zeolite,,2.22,cdv1-27,0.81,-32.2
Watanabe et al. 1997,,South Africa,"Black Reef, Kaapvaal",shale,sub greenschist,,2.56,MEE4,1.9,-32.2
Watanabe et al. 1997,,South Africa,"Black Reef, Kaapvaal",shale,sub greenschist,,2.56,MEE20,1.56,-35
Watanabe et al. 1997,,South Africa,"Black Reef, Kaapvaal",shale,sub greenschist,,2.56,MEE22,1.86,-35.5
Watanabe et al. 1997,,South Africa,"Black Reef, Kaapvaal",shale,sub greenschist,,2.56,MEE29,1.72,-29.7
Watanabe et al. 1997,,South Africa,"Black Reef, Kaapvaal",shale,sub greenschist,,2.56,MEE35,1.33,-30
Watanabe et al. 1997,,South Africa,"Black Reef, Kaapvaal",shale,sub greenschist,,2.56,MEE40,1.69,-33.2
Watanabe et al. 1997,,South Africa,"Black Reef, Kaapvaal",shale,sub greenschist,,2.56,CDV1-28,1.54,-34.1
Watanabe et al. 1997,,South Africa,"Selati, Kaapvaal",shale,sub greenschist,,2.65,D50,0.12,-23.8
Watanabe et al. 1997,,South Africa,"Selati, Kaapvaal",shale,sub greenschist,,2.65,D53,0.13,-24.5
Watanabe et al. 1997,,South Africa,"Selati, Kaapvaal",shale,sub greenschist,,2.65,C197,0.2,-17.9
Watanabe et al. 1997,,South Africa,"Bothaville, Kaapvaal",shale,sub greenschist,,2.63,JWS8-10,0.25,-30.1
Watanabe et al. 1997,,South Africa,"Bothaville, Kaapvaal",shale,sub greenschist,,2.63,JWS8-11,0.21,-30.6
Watanabe et al. 1997,,South Africa,"K-8, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MEE16,0.21,-31.7
Watanabe et al. 1997,,South Africa,"K-8, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MEE19,0.09,-25
Watanabe et al. 1997,,South Africa,"K-8, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MEE34,0.18,-27.6
Watanabe et al. 1997,,South Africa,"K-8, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MEE 39,0.18,-30.3
Watanabe et al. 1997,,South Africa,"K-8, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MED4,0.23,-32.7
Watanabe et al. 1997,,South Africa,"K-8, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MED8,0.11,-27.2
Watanabe et al. 1997,,South Africa,"K-8, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MED9,0.15,-27.4
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,MEE27,0.11,-27.9
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,SJ3-1,0.15,-26.2
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,SJ3-5,0.17,-26.4
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,SJ3-7,0.15,-26.6
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,615-7,0.23,-31.7
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,615-9,0.28,-32.8
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,730-4,0.2,-34.5
Watanabe et al. 1997,,South Africa,"Booysens, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.72,V56-58,0.07,-29.1
Watanabe et al. 1997,,South Africa,"Roodepoort, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.91,AA0096,0.33,-31.5
Watanabe et al. 1997,,South Africa,"Roodepoort, Witwatersrand, Kaapvaal",shale,sub greenschist,,2.91,AA0099,0.31,-29
Watanabe et al. 1997,,South Africa,"Orange, Kaapvaal",shale,sub greenschist,,3,D14,0.32,-30.3
"Westall et al., 2001",,South Africa,Kromberg,chert,sub greenschist,,3.4,SA1,0.03,-26.4
"Westall et al., 2001",,South Africa,Kromberg,chert,sub greenschist,,3.4,SA2,0.02,-14
"Westall et al., 2001",,South Africa,Hooggenoeg,chert,sub greenschist,,3.45,SA4,0.02,-25.1
"Westall et al., 2001",,South Africa,Hooggenoeg,chert,sub greenschist,,3.45,SA5,0.01,-22.7
"Westall et al., 2001",,South Africa,Hooggenoeg,chert,sub greenschist,,3.45,SA6,0.01,-23.6
Yoshiya et al 2012,,Austrailia,Marra Mamba,chert,sub greenschist,,2.6,LR31*,0.03,-33.45
Yoshiya et al 2012,,Austrailia,Marra Mamba,chert,sub greenschist,,2.6,LR24*,0.04,-33.85
Yoshiya et al 2012,,Austrailia,Marra Mamba,chert,sub greenschist,,2.6,LR12alt*,0.02,-32.46
Yoshiya et al 2012,,Austrailia,Marra Mamba,chert,sub greenschist,,2.6,LR12*,0.01,-33.21
Yoshiya et al 2012,,Austrailia,Jeerinah,shale,sub greenschist,,2.65,99RH48b*,0.53,-46.22
Yoshiya et al 2012,,Austrailia,Jeerinah,shale,sub greenschist,,2.65,99RH48a*,0.5,-46.03
Yoshiya et al 2012,,Austrailia,Jeerinah,carbonate,sub greenschist,,2.65,FT38b*,0.03,-31.78
Yoshiya et al 2012,,Austrailia,Jeerinah,carbonate,sub greenschist,,2.65,FT38a*,0.03,-30.94
Yoshiya et al 2012,,Austrailia,Jeerinah,carbonate,sub greenschist,,2.65,FT31*,0.07,-41.04
Yoshiya et al 2012,,Austrailia,Jeerinah,sandstone,sub greenschist,,2.65,RM92*,0.06,-33.25
Yoshiya et al 2012,,Austrailia,Jeerinah,shale,sub greenschist,,2.65,RM95*,0.04,-41.63
Yoshiya et al 2012,,Austrailia,Maddina (Kuruna),shale,sub greenschist,,2.7,RM437*,0.05,-41.35
Yoshiya et al 2012,,Austrailia,Maddina (Kuruna),sandstone,sub greenschist,,2.7,RM435*,0.03,-38.01
Yoshiya et al 2012,,Austrailia,Maddina (Kuruna),shale,sub greenschist,,2.7,RM424*,0.1,-48.35
Yoshiya et al 2012,,Austrailia,Maddina (Kuruna),shale,sub greenschist,,2.7,RM433*,0.06,-39.28
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),shale,sub greenschist,,2.72,RM424*,0.1,-48.35
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),shale,sub greenschist,,2.72,RM418*,0.14,-47.41
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),carbonate,sub greenschist,,2.72,RM416*,0.05,-41.63
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),shale,sub greenschist,,2.72,RM466*,0.08,-43.12
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),shale,sub greenschist,,2.72,RM447*,0.03,-40.42
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),sandstone,sub greenschist,,2.72,Rm448,0.21,-32.03
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),carbonate,sub greenschist,,2.72,RM449alt*,0.06,-47.48
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),carbonate,sub greenschist,,2.72,RM449alt*,0.06,-48.08
Yoshiya et al 2012,,Austrailia,Tumbiana (Meentheena),carbonate,sub greenschist,,2.72,RM450,0.05,-44.61
